,region,age,contents,year,value
381,Vestre Slidre,67-79 years,Living with others,2019,199
382,Vestre Slidre,80 years or older,Living alone,2019,55
383,Vestre Slidre,80 years or older,Living with others,2019,63
384,Øystre Slidre,67-79 years,Living alone,2019,132
385,Øystre Slidre,67-79 years,Living with others,2019,347
386,Øystre Slidre,80 years or older,Living alone,2019,82
387,Øystre Slidre,80 years or older,Living with others,2019,46
388,Vang,67-79 years,Living alone,2019,65
389,Vang,67-79 years,Living with others,2019,172
390,Vang,80 years or older,Living alone,2019,37
391,Vang,80 years or older,Living with others,2019,38
392,Horten,67-79 years,Living alone,2019,1003
393,Horten,67-79 years,Living with others,2019,2426
394,Horten,80 years or older,Living alone,2019,627
395,Horten,80 years or older,Living with others,2019,634
396,Holmestrand,67-79 years,Living alone,2019,796
397,Holmestrand,67-79 years,Living with others,2019,2194
398,Holmestrand,80 years or older,Living alone,2019,497
399,Holmestrand,80 years or older,Living with others,2019,465
400,Tønsberg,67-79 years,Living alone,2019,1792
401,Tønsberg,67-79 years,Living with others,2019,4289
402,Tønsberg,80 years or older,Living alone,2019,1221
403,Tønsberg,80 years or older,Living with others,2019,1162
404,Sandefjord,67-79 years,Living alone,2019,2107
405,Sandefjord,67-79 years,Living with others,2019,5278
406,Sandefjord,80 years or older,Living alone,2019,1444
407,Sandefjord,80 years or older,Living with others,2019,1303
408,Larvik,67-79 years,Living alone,2019,1666
409,Larvik,67-79 years,Living with others,2019,4365
410,Larvik,80 years or older,Living alone,2019,1258
411,Larvik,80 years or older,Living with others,2019,1098
412,Porsgrunn,67-79 years,Living alone,2019,1242
413,Porsgrunn,67-79 years,Living with others,2019,3174
414,Porsgrunn,80 years or older,Living alone,2019,884
415,Porsgrunn,80 years or older,Living with others,2019,702
416,Skien,67-79 years,Living alone,2019,1895
417,Skien,67-79 years,Living with others,2019,4773
418,Skien,80 years or older,Living alone,2019,1272
419,Skien,80 years or older,Living with others,2019,1115
