Municipality,To,Commuters
Sarpsborg,Vågå,0
Sarpsborg,Nord-Fron,0
Sarpsborg,Sel,9
Sarpsborg,Sør-Fron,0
Sarpsborg,Ringebu,3
Sarpsborg,Øyer,0
Sarpsborg,Gausdal,0
Sarpsborg,Østre_Toten,2
Sarpsborg,Vestre_Toten,2
Sarpsborg,Jevnaker,1
Sarpsborg,Lunner,3
Sarpsborg,Gran,1
Sarpsborg,Søndre_Land,1
Sarpsborg,Nordre_Land,2
Sarpsborg,Sør-Aurdal,0
Sarpsborg,Etnedal,0
Sarpsborg,Nord-Aurdal,0
Sarpsborg,Vestre_Slidre,0
Sarpsborg,Øystre_Slidre,0
Sarpsborg,Vang,6
Sarpsborg,Drammen,20
Sarpsborg,Kongsberg,3
Sarpsborg,Ringerike,4
Sarpsborg,Hole,1
Sarpsborg,Flå,0
Sarpsborg,Gol,1
Sarpsborg,Hemsedal,0
Sarpsborg,Ål,174
Sarpsborg,Hol,5
Sarpsborg,Sigdal,1
Sarpsborg,Krødsherad,1
Sarpsborg,Modum,5
Sarpsborg,Øvre_Eiker,4
Sarpsborg,Lier,12
Sarpsborg,Flesberg,0
Sarpsborg,Rollag,0
Sarpsborg,Nore_og_Uvdal,0
Sarpsborg,Horten,17
Sarpsborg,Tønsberg,29
Sarpsborg,Sandefjord,25
Sarpsborg,Larvik,13
Sarpsborg,Holmestrand,4
Sarpsborg,Re,6733
Sarpsborg,Færder,16
Sarpsborg,Porsgrunn,8
Sarpsborg,Skien,11
Sarpsborg,Notodden,0
Sarpsborg,Siljan,1
Sarpsborg,Bamble,2
Sarpsborg,Kragerø,2
Sarpsborg,Drangedal,0
Sarpsborg,Nome,0
Sarpsborg,Tinn,0
Sarpsborg,Hjartdal,0
Sarpsborg,Seljord,0
Sarpsborg,Kviteseid,0
Sarpsborg,Nissedal,1
Sarpsborg,Fyresdal,0
Sarpsborg,Tokke,0
Sarpsborg,Vinje,0
Sarpsborg,Risør,0
Sarpsborg,Grimstad,4
Sarpsborg,Arendal,4
Sarpsborg,Gjerstad,0
Sarpsborg,Vegårshei,0
Sarpsborg,Tvedestrand,0
Sarpsborg,Froland,1
Sarpsborg,Lillesand,1
Sarpsborg,Birkenes,0
Sarpsborg,Åmli,0
Sarpsborg,Iveland,0
Sarpsborg,Evje_og_Hornnes,0
Sarpsborg,Bygland,0
Sarpsborg,Valle,0
Sarpsborg,Bykle,0
Sarpsborg,Kristiansand,10
Sarpsborg,Farsund,2
Sarpsborg,Flekkefjord,0
Sarpsborg,Vennesla,1
Sarpsborg,Åseral,0
Sarpsborg,Lindesnes,2
Sarpsborg,Lyngdal,0
Sarpsborg,Hægebostad,0
Sarpsborg,Kvinesdal,2
Sarpsborg,Sirdal,0
Sarpsborg,Eigersund,0
Sarpsborg,Sandnes,2
Sarpsborg,Stavanger,4
Sarpsborg,Haugesund,5
Sarpsborg,Sokndal,0
Sarpsborg,Lund,0
Sarpsborg,Bjerkreim,0
Sarpsborg,Hå,0
Sarpsborg,Klepp,0
Sarpsborg,Time,3
Sarpsborg,Gjesdal,0
Sarpsborg,Sola,0
Sarpsborg,Randaberg,0
Sarpsborg,Strand,4
Sarpsborg,Hjelmeland,0
Sarpsborg,Suldal,0
Sarpsborg,Sauda,0
Sarpsborg,Kvitsøy,0
Sarpsborg,Bokn,0
Sarpsborg,Tysvær,2
Sarpsborg,Karmøy,3
Sarpsborg,Utsira,0
Sarpsborg,Vindafjord,0
Sarpsborg,Bergen,23
Sarpsborg,Etne,0
Sarpsborg,Sveio,0
Sarpsborg,Bømlo,1
Sarpsborg,Stord,3
Sarpsborg,Fitjar,0
Sarpsborg,Tysnes,0
Sarpsborg,Kvinnherad,0
Sarpsborg,Ullensvang,0
Sarpsborg,Eidfjord,0
Sarpsborg,Ulvik,0
Sarpsborg,Voss,2
Sarpsborg,Kvam,0
Sarpsborg,Samnanger,0
Sarpsborg,Austevoll,0
Sarpsborg,Sund,8
Sarpsborg,Fjell,0
Sarpsborg,Askøy,1
Sarpsborg,Vaksdal,1
Sarpsborg,Modalen,0
Sarpsborg,Osterøy,2
Sarpsborg,Meland,0
Sarpsborg,Øygarden,0
Sarpsborg,Austrheim,0
Sarpsborg,Fedje,0
Sarpsborg,Masfjorden,0
Sarpsborg,Gulen,0
Sarpsborg,Solund,0
Sarpsborg,Hyllestad,0
Sarpsborg,Høyanger,0
Sarpsborg,Vik,21
Sarpsborg,Sogndal,0
Sarpsborg,Aurland,0
Sarpsborg,Lærdal,0
Sarpsborg,Årdal,0
Sarpsborg,Luster,0
Sarpsborg,Askvoll,0
Sarpsborg,Fjaler,0
Sarpsborg,Bremanger,0
Sarpsborg,Eid,157
Sarpsborg,Gloppen,0
Sarpsborg,Stryn,0
Sarpsborg,Molde,0
Sarpsborg,Ålesund,0
Sarpsborg,Kristiansund,1
Sarpsborg,Vanylven,0
Sarpsborg,Sande,29
Sarpsborg,Herøy,0
Sarpsborg,Ulstein,1
Sarpsborg,Hareid,1
Sarpsborg,Volda,1
Sarpsborg,Ørsta,0
Sarpsborg,Stranda,0
Sarpsborg,Sykkylven,1
Sarpsborg,Sula,0
Sarpsborg,Giske,0
Sarpsborg,Vestnes,0
Sarpsborg,Rauma,0
Sarpsborg,Aukra,0
Sarpsborg,Averøy,0
Sarpsborg,Gjemnes,0
Sarpsborg,Tingvoll,0
Sarpsborg,Sunndal,0
Sarpsborg,Surnadal,1
Sarpsborg,Smøla,0
Sarpsborg,Aure,0
Sarpsborg,Bodø,1
Sarpsborg,Bindal,0
Sarpsborg,Sømna,0
Sarpsborg,Brønnøy,1
Sarpsborg,Vega,0
Sarpsborg,Vevelstad,0
Sarpsborg,Leirfjord,0
Sarpsborg,Vefsn,1
Sarpsborg,Grane,0
Sarpsborg,Hattfjelldal,0
Sarpsborg,Dønna,0
Sarpsborg,Nesna,0
Sarpsborg,Hemnes,0
Sarpsborg,Rana,3
Sarpsborg,Lurøy,0
Sarpsborg,Træna,0
Sarpsborg,Rødøy,0
Sarpsborg,Meløy,1
Sarpsborg,Gildeskål,0
Sarpsborg,Beiarn,0
Sarpsborg,Saltdal,0
Sarpsborg,Fauske,1
Sarpsborg,Sørfold,1
Sarpsborg,Steigen,0
Sarpsborg,Lødingen,0
Sarpsborg,Tjeldsund,0
Sarpsborg,Evenes,0
Sarpsborg,Røst,0
Sarpsborg,Værøy,0
Sarpsborg,Flakstad,0
Sarpsborg,Vestvågøy,1
Sarpsborg,Vågan,0
Sarpsborg,Hadsel,0
Sarpsborg,Bø,41
Sarpsborg,Øksnes,0
Sarpsborg,Sortland,1
Sarpsborg,Andøy,0
Sarpsborg,Moskenes,0
Sarpsborg,Tromsø,5
Sarpsborg,Harstad,1
Sarpsborg,Kvæfjord,0
